iter	Passed	Remaining
0	47	47120
1	48	24079
2	49	16306
3	49	12441
4	50	10105
5	51	8564
6	52	7448
7	53	6621
8	54	5975
9	55	5451
10	55	5030
11	56	4676
12	57	4376
13	58	4118
14	59	3900
15	60	3701
16	61	3532
17	61	3378
18	62	3240
19	63	3114
20	64	3004
21	65	2901
22	66	2808
23	66	2722
24	67	2644
25	68	2569
26	69	2503
27	70	2440
28	71	2381
29	71	2326
30	72	2275
31	73	2229
32	74	2183
33	75	2143
34	76	2101
35	77	2064
36	77	2028
37	78	1993
38	79	1960
39	80	1929
40	81	1899
41	81	1870
42	82	1844
43	83	1818
44	84	1793
45	85	1769
46	86	1744
47	86	1722
48	87	1702
49	88	1681
50	89	1662
51	90	1643
52	90	1624
53	91	1608
54	92	1592
55	93	1576
56	94	1559
57	95	1545
58	95	1530
59	96	1515
60	97	1501
61	98	1487
62	99	1475
63	100	1462
64	100	1450
65	101	1438
66	102	1426
67	102	1406
68	103	1401
69	104	1391
70	105	1379
71	106	1369
72	107	1359
73	107	1349
74	108	1340
75	109	1332
76	110	1323
77	111	1314
78	112	1306
79	112	1298
80	113	1289
81	114	1281
82	115	1274
83	116	1266
84	116	1253
85	117	1250
86	117	1237
87	119	1235
88	120	1228
89	120	1222
90	121	1216
91	122	1209
92	123	1202
93	124	1197
94	125	1191
95	125	1185
96	126	1179
97	127	1174
98	128	1168
99	129	1162
100	130	1157
101	130	1147
102	131	1145
103	132	1140
104	133	1135
105	134	1130
106	134	1125
107	135	1120
108	136	1115
109	137	1110
110	138	1105
111	138	1101
112	139	1097
113	140	1093
114	141	1088
115	141	1080
116	143	1079
117	143	1074
118	144	1066
119	145	1065
120	146	1061
121	146	1057
122	147	1048
123	148	1047
124	149	1043
125	149	1040
126	150	1036
127	151	1029
128	152	1027
129	153	1024
130	153	1020
131	154	1017
132	155	1013
133	156	1009
134	157	1007
135	157	1003
136	158	1000
137	159	994
138	160	993
139	161	990
140	162	987
141	162	983
142	163	980
143	164	976
144	165	974
145	166	971
146	166	968
147	167	965
148	168	962
149	169	959
150	170	956
151	170	953
152	171	950
153	172	947
154	173	945
155	174	941
156	174	938
157	175	936
158	176	933
